"a2.1","a2.2","a2.3","a2.4","a2.5","a2.6","a2.7","a2.8","a2.9","a2.10","a2.11","a2.12","a2.13","a2.14","a2.15","a2.16","a2.17","a2.18","a2.19","a2.20","a2.21","a2.22","a2.23","a2.24","a2.25","a2.26","a2.27","a2.28","a2.29","a2.30","a2.31","a2.32","a2.33","a2.34","a2.35","a2.36","a2.37","a2.38","a2.39","a2.40","a2.41","a2.42","a2.43","a2.44","a2.45","a2.46","a2.47","a2.48","a2.49","a2.50","a2.51","a2.52","a2.53","a2.54","a2.55","a2.56","a2.57","a2.58","a2.59","a2.60","a2.61","a2.62","a2.63","a2.64","a2.65","a2.66","a2.67","a2.68","a2.69","a2.70","a2.71","a2.72","a2.73","a2.74","a2.75","a2.76","a2.77","a2.78","a2.79","a2.80","a2.81","a2.82","a2.83","a2.84","a2.85","a2.86","a2.87","a2.88","a2.89","a2.90","a2.91","a2.92","a2.93","a2.94","a2.95","a2.96","a2.97","a2.98","a2.99","a2.100","a2.101","a2.102","a2.103","a2.104","a2.105","a2.106","a2.107","a2.108","a2.109","a2.110","a2.111","a2.112","a2.113","a2.114","a2.115","a2.116","a2.117","a2.118","a2.119","a2.120"
"000000","1724","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","2","65886","00001010","edm","paicipantresponseblue","correct","729","ball","67","ball","colorred","practice","num0","typepractice","singlestim","4","71828","00001030","edc","paicipantresponsered","correct","482","table","77","table","colorblue","practice","num0","typepractice","singlestim","6","77524","00001050","edm","paicipantresponseblue","correct","420","desk","67","desk","colorred","practice","num0","typepractice","singlestim","8","83158","00001070","edc","paicipantresponsered","correct","663","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","10","89035","00001090","edm","paicipantresponseblue","correct","1272","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","12","95519","000010110","edm","paicipantresponseblue","correct","548","radio","67","radio","colorred","practice","num0","typepractice","singlestim","14","101283","000010130","edc","paicipantresponsered","correct","1489","cat","67","cat","colorred","practice","num0","typepractice","singlestim","16","107986","000010150","edc","paicipantresponsered"
"000000","978","cat","67","cat","colorred","practice","num0","typepractice","singlestim","2","27184","00001010","edc","paicipantresponsered","correct","473","desk","67","desk","colorred","practice","num0","typepractice","singlestim","4","32867","00001030","edc","paicipantresponsered","correct","371","table","77","table","colorblue","practice","num0","typepractice","singlestim","6","38447","00001050","edm","paicipantresponseblue","correct","489","radio","67","radio","colorred","practice","num0","typepractice","singlestim","8","44148","00001070","edc","paicipantresponsered","correct","425","ball","67","ball","colorred","practice","num0","typepractice","singlestim","10","49784","00001090","edc","paicipantresponsered","correct","349","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","12","55344","000010110","edm","paicipantresponseblue","correct","411","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","14","60967","000010130","edm","paicipantresponseblue","correct","425","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","16","66606","000010150","edm","paicipantresponseblue"
"000000","689","radio","77","radio","colorred","practice","num0","typepractice","singlestim","2","200336","00001010","edm","paicipantresponseblue","incorrect","484","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","4","206026","00001030","edm","paicipantresponseblue","correct","422","table","77","table","colorblue","practice","num0","typepractice","singlestim","6","211654","00001050","edm","paicipantresponseblue","correct","356","cat","67","cat","colorred","practice","num0","typepractice","singlestim","8","217217","00001070","edc","paicipantresponsered","correct","772","desk","67","desk","colorred","practice","num0","typepractice","singlestim","10","223197","00001090","edc","paicipantresponsered","correct","657","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","12","229061","000010110","edm","paicipantresponseblue","correct","566","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","14","234834","000010130","edm","paicipantresponseblue","correct","398","ball","67","ball","colorred","practice","num0","typepractice","singlestim","16","240438","000010150","edc","paicipantresponsered"
"000000","1260","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","2","34875","00001010","edm","paicipantresponseblue","correct","872","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","4","40952","00001030","edm","paicipantresponseblue","correct","740","ball","67","ball","colorred","practice","num0","typepractice","singlestim","6","46897","00001050","edc","paicipantresponsered","correct","774","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","8","52877","00001070","edm","paicipantresponseblue","correct","715","radio","67","radio","colorred","practice","num0","typepractice","singlestim","10","58798","00001090","edc","paicipantresponsered","correct","1122","desk","67","desk","colorred","practice","num0","typepractice","singlestim","12","65125","000010110","edc","paicipantresponsered","correct","709","cat","67","cat","colorred","practice","num0","typepractice","singlestim","14","71038","000010130","edc","paicipantresponsered","correct","875","table","77","table","colorblue","practice","num0","typepractice","singlestim","16","77123","000010150","edm","paicipantresponseblue"
"000000","670","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","2","10390","00001010","edm","paicipantresponseblue","correct","602","table","77","table","colorblue","practice","num0","typepractice","singlestim","4","16199","00001030","edm","paicipantresponseblue","correct","530","radio","67","radio","colorred","practice","num0","typepractice","singlestim","6","21939","00001050","edc","paicipantresponsered","correct","816","desk","67","desk","colorred","practice","num0","typepractice","singlestim","8","27969","00001070","edc","paicipantresponsered","correct","463","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","10","33644","00001090","edm","paicipantresponseblue","correct","940","cat","67","cat","colorred","practice","num0","typepractice","singlestim","12","39795","000010110","edc","paicipantresponsered","correct","520","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","14","45528","000010130","edm","paicipantresponseblue","correct","582","ball","67","ball","colorred","practice","num0","typepractice","singlestim","16","51320","000010150","edc","paicipantresponsered"
"000000","778","radio","67","radio","colorred","practice","num0","typepractice","singlestim","2","29499","00001010","edc","paicipantresponsered","correct","456","desk","67","desk","colorred","practice","num0","typepractice","singlestim","4","35169","00001030","edc","paicipantresponsered","correct","468","cat","67","cat","colorred","practice","num0","typepractice","singlestim","6","40849","00001050","edc","paicipantresponsered","correct","398","table","77","table","colorblue","practice","num0","typepractice","singlestim","8","46456","00001070","edm","paicipantresponseblue","correct","406","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","10","52072","00001090","edm","paicipantresponseblue","correct","535","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","12","57818","000010110","edm","paicipantresponseblue","correct","432","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","14","63461","000010130","edm","paicipantresponseblue","correct","436","ball","67","ball","colorred","practice","num0","typepractice","singlestim","16","69107","000010150","edc","paicipantresponsered"
"000000","587","radio","67","radio","colorred","practice","num0","typepractice","singlestim","2","29223","00001010","edc","paicipantresponsered","correct","599","desk","67","desk","colorred","practice","num0","typepractice","singlestim","4","35034","00001030","edc","paicipantresponsered","correct","419","table","77","table","colorblue","practice","num0","typepractice","singlestim","6","40664","00001050","edm","paicipantresponseblue","correct","478","ball","67","ball","colorred","practice","num0","typepractice","singlestim","8","46353","00001070","edc","paicipantresponsered","correct","452","cat","67","cat","colorred","practice","num0","typepractice","singlestim","10","52014","00001090","edc","paicipantresponsered","correct","518","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","12","57736","000010110","edm","paicipantresponseblue","correct","465","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","14","63416","000010130","edm","paicipantresponseblue","correct","388","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","16","69016","000010150","edm","paicipantresponseblue"
"000000","882","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","2","11410","00001010","edm","paicipantresponseblue","correct","508","radio","67","radio","colorred","practice","num0","typepractice","singlestim","4","17131","00001030","edc","paicipantresponsered","correct","359","desk","67","desk","colorred","practice","num0","typepractice","singlestim","6","22701","00001050","edc","paicipantresponsered","correct","387","cat","67","cat","colorred","practice","num0","typepractice","singlestim","8","28300","00001070","edc","paicipantresponsered","correct","426","ball","67","ball","colorred","practice","num0","typepractice","singlestim","10","33937","00001090","edc","paicipantresponsered","correct","533","bag","67","bag","colorblue","practice","num0","typepractice","singlestim","12","39680","000010110","edc","paicipantresponsered","incorrect","418","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","14","45313","000010130","edm","paicipantresponseblue","correct","351","table","77","table","colorblue","practice","num0","typepractice","singlestim","16","50874","000010150","edm","paicipantresponseblue"
"000000","794","table","77","table","colorblue","practice","num0","typepractice","singlestim","2","22467","00001010","edm","paicipantresponseblue","correct","459","radio","67","radio","colorred","practice","num0","typepractice","singlestim","4","28133","00001030","edc","paicipantresponsered","correct","503","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","6","33843","00001050","edm","paicipantresponseblue","correct","425","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","8","39476","00001070","edm","paicipantresponseblue","correct","451","ball","67","ball","colorred","practice","num0","typepractice","singlestim","10","45133","00001090","edc","paicipantresponsered","correct","455","cat","67","cat","colorred","practice","num0","typepractice","singlestim","12","50795","000010110","edc","paicipantresponsered","correct","347","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","14","56348","000010130","edm","paicipantresponseblue","correct","588","desk","67","desk","colorred","practice","num0","typepractice","singlestim","16","62144","000010150","edc","paicipantresponsered"
"000000","676","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","2","37474","00001010","edm","paicipantresponseblue","correct","730","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","4","43415","00001030","edm","paicipantresponseblue","correct","699","cat","67","cat","colorred","practice","num0","typepractice","singlestim","6","49326","00001050","edc","paicipantresponsered","correct","683","table","77","table","colorblue","practice","num0","typepractice","singlestim","8","55218","00001070","edm","paicipantresponseblue","correct","901","ball","67","ball","colorred","practice","num0","typepractice","singlestim","10","61335","00001090","edc","paicipantresponsered","correct","543","desk","67","desk","colorred","practice","num0","typepractice","singlestim","12","67087","000010110","edc","paicipantresponsered","correct","500","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","14","72796","000010130","edm","paicipantresponseblue","correct","363","radio","67","radio","colorred","practice","num0","typepractice","singlestim","16","78371","000010150","edc","paicipantresponsered"
