"","colour_subject","rt","stimulus","keypress","word","color","block","blocknum","wordtype","trialtype","trialindex","timeelapsed","internalnodeid","keypressed","participantresponse","correctresponse"
"1","Subject1","981","rejected","77","rejected","colorblue","test","num1","typenegative","singlestim","19","119716","100010","edm","paicipantresponseblue","correct"
"2","Subject2","382","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","19","75547","100010","edm","paicipantresponseblue","correct"
"3","Subject3","358","alone","67","alone","colorblue","test","num1","typenegative","singlestim","19","404851","100010","edc","paicipantresponsered","incorrect"
"4","Subject4","1421","pleasure","77","pleasure","colorblue","test","num1","typepositive","singlestim","19","88716","100010","edm","paicipantresponseblue","correct"
"5","Subject5","788","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","19","70525","100010","edm","paicipantresponseblue","correct"
"6","Subject6","703","paper","67","paper","colorblue","test","num1","typeneutral","singlestim","19","150534","100010","edc","paicipantresponsered","incorrect"
"7","Subject7","568","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","19","79368","100010","edm","paicipantresponseblue","correct"
"8","Subject8","467","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","19","58605","100010","edm","paicipantresponseblue","correct"
"9","Subject9","579","pleasure","77","pleasure","colorblue","test","num1","typepositive","singlestim","19","73073","100010","edm","paicipantresponseblue","correct"
"10","Subject10","1","dead","1","dead","colorblue","test","num1","typesuicide","singlestim","19","94172","100010","ed","incorrect","762"
"11","Subject11","581","success","67","success","colorred","test","num1","typepositive","singlestim","19","139843","100010","edc","paicipantresponsered","correct"
"12","Subject13","514","pleasure","77","pleasure","colorred","test","num1","typepositive","singlestim","19","97595","100010","edm","paicipantresponseblue","incorrect"
"13","Subject14","540","happy","77","happy","colorblue","test","num1","typepositive","singlestim","19","99024","100010","edm","paicipantresponseblue","correct"
"14","Subject15","420","funeral","67","funeral","colorred","test","num1","typesuicide","singlestim","19","95469","100010","edc","paicipantresponsered","correct"
"15","Subject16","396","paper","77","paper","colorblue","test","num1","typeneutral","singlestim","19","66347","100010","edm","paicipantresponseblue","correct"
"16","Subject17","705","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","19","151002","100010","edm","paicipantresponseblue","correct"
"17","Subject18","460","pleasure","67","pleasure","colorred","test","num1","typepositive","singlestim","19","87685","100010","edc","paicipantresponsered","correct"
"18","Subject19","813","pleasure","67","pleasure","colorred","test","num1","typepositive","singlestim","19","107351","100010","edc","paicipantresponsered","correct"
"19","Subject20","1794","happy","67","happy","colorred","test","num1","typepositive","singlestim","19","72503","100010","edc","paicipantresponsered","correct"
"20","Subject21","1015","museum","67","museum","colorred","test","num1","typeneutral","singlestim","19","66422","100010","edc","paicipantresponsered","correct"
"21","Subject22","paper","77","paper","colorblue","test","num1","typeneutral","singlestim","19","98819","100010","edm","paicipantresponseblue","correct","300"
"22","Subject23","567","rejected","77","rejected","colorblue","test","num1","typenegative","singlestim","19","32155","100010","edm","paicipantresponseblue","correct"
"23","Subject24","658","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","19","90081","100010","edm","paicipantresponseblue","correct"
"24","Subject25","430","success","77","success","colorblue","test","num1","typepositive","singlestim","19","94464","100010","edm","paicipantresponseblue","correct"
"25","Subject26","success","77","success","colorblue","test","num1","typepositive","singlestim","19","1192017","100010","edm","paicipantresponseblue","correct","583"
"26","Subject27","514","happy","77","happy","colorblue","test","num1","typepositive","singlestim","19","169142","100010","edm","paicipantresponseblue","correct"
"27","Subject28","769","rejected","67","rejected","colorred","test","num1","typenegative","singlestim","19","59618","100010","edc","paicipantresponsered","correct"
"28","Subject29","488","funeral","67","funeral","colorred","test","num1","typesuicide","singlestim","19","88604","100010","edc","paicipantresponsered","correct"
"29","Subject30","alone","77","alone","colorblue","test","num1","typenegative","singlestim","19","130369","100010","edm","paicipantresponseblue","correct","287"
"30","Subject31","386","suicide","67","suicide","colorred","test","num1","typesuicide","singlestim","19","109656","100010","edc","paicipantresponsered","correct"
"31","Subject32","551","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","19","79165","100010","edm","paicipantresponseblue","correct"
"32","Subject33","387","pleasure","67","pleasure","colorblue","test","num1","typepositive","singlestim","19","79289","100010","edc","paicipantresponsered","incorrect"
"33","Subject34","405","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","19","80065","100010","edm","paicipantresponseblue","correct"
"34","Subject35","600","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","19","74808","100010","edm","paicipantresponseblue","correct"
"35","Subject36","567","happy","77","happy","colorblue","test","num1","typepositive","singlestim","19","85495","100010","edm","paicipantresponseblue","correct"
"36","Subject37","959","paper","77","paper","colorblue","test","num1","typeneutral","singlestim","19","85913","100010","edm","paicipantresponseblue","correct"
"37","Subject38","museum","67","museum","colorblue","test","num1","typeneutral","singlestim","19","98128","100010","edc","paicipantresponsered","incorrect","489"
"38","Subject39","307","dead","67","dead","colorred","test","num1","typesuicide","singlestim","19","78477","100010","edc","paicipantresponsered","correct"
"39","Subject40","865","stupid","67","stupid","colorred","test","num1","typenegative","singlestim","19","71429","100010","edc","paicipantresponsered","correct"
"40","Subject41","success","67","success","colorblue","test","num1","typepositive","singlestim","19","95400","100010","edc","paicipantresponsered","incorrect","531"
"41","Subject42","326","stupid","67","stupid","colorred","test","num1","typenegative","singlestim","19","78559","100010","edc","paicipantresponsered","correct"
"42","Subject43","601","museum","67","museum","colorred","test","num1","typeneutral","singlestim","19","95017","100010","edc","paicipantresponsered","correct"
"43","Subject44","774","alone","77","alone","colorblue","test","num1","typenegative","singlestim","19","73189","100010","edm","paicipantresponseblue","correct"
"44","Subject45","997","paper","77","paper","colorblue","test","num1","typeneutral","singlestim","19","82636","100010","edm","paicipantresponseblue","correct"
"45","Subject46","487","happy","67","happy","colorred","test","num1","typepositive","singlestim","19","114833","100010","edc","paicipantresponsered","correct"
"46","Subject47","402","paper","67","paper","colorred","test","num1","typeneutral","singlestim","19","79596","100010","edc","paicipantresponsered","correct"
"47","Subject48","587","alone","67","alone","colorred","test","num1","typenegative","singlestim","19","74912","100010","edc","paicipantresponsered","correct"
"48","Subject49","464","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","19","103076","100010","edm","paicipantresponseblue","correct"
"49","Subject50","670","pleasure","77","pleasure","colorblue","test","num1","typepositive","singlestim","19","153488","100010","edm","paicipantresponseblue","correct"
"50","Subject51","dead","67","dead","colorred","test","num1","typesuicide","singlestim","19","65173","100010","edc","paicipantresponsered","correct","579"
"51","Subject52","1213","happy","67","happy","colorred","test","num1","typepositive","singlestim","19","107262","100010","edc","paicipantresponsered","correct"
"52","Subject55","443","rejected","77","rejected","colorblue","test","num1","typenegative","singlestim","19","94898","100010","edm","paicipantresponseblue","correct"
"53","Subject56","725","success","67","success","colorred","test","num1","typepositive","singlestim","19","83996","100010","edc","paicipantresponsered","correct"
"54","Subject57","835","engine","67","engine","colorred","test","num1","typeneutral","singlestim","19","7821916","100010","edc","paicipantresponsered","correct"
"55","Subject58","1795","success","77","success","colorblue","test","num1","typepositive","singlestim","19","113236","100010","edm","paicipantresponseblue","correct"
"56","Subject59","927","happy","67","happy","colorred","test","num1","typepositive","singlestim","19","159997","100010","edc","paicipantresponsered","correct"
"57","Subject60","439","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","19","96748","100010","edm","paicipantresponseblue","correct"
"58","Subject61","1094","engine","77","engine","colorblue","test","num1","typeneutral","singlestim","19","61221","100010","edm","paicipantresponseblue","correct"
"59","Subject62","1182","rejected","77","rejected","colorblue","test","num1","typenegative","singlestim","19","109350","100010","edm","paicipantresponseblue","correct"
"60","Subject63","384","dead","67","dead","colorred","test","num1","typesuicide","singlestim","19","667300","100010","edc","paicipantresponsered","correct"
"61","Subject64","354","alone","77","alone","colorblue","test","num1","typenegative","singlestim","19","81137","100010","edm","paicipantresponseblue","correct"
"62","Subject65","298","alone","77","alone","colorblue","test","num1","typenegative","singlestim","19","59692","100010","edm","paicipantresponseblue","correct"
"63","Subject66","505","museum","67","museum","colorred","test","num1","typeneutral","singlestim","19","60436","100010","edc","paicipantresponsered","correct"
"64","Subject67","434","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","19","79725","100010","edm","paicipantresponseblue","correct"
"65","Subject68","611","alone","67","alone","colorred","test","num1","typenegative","singlestim","19","102689","100010","edc","paicipantresponsered","correct"
"66","Subject69","466","pleasure","77","pleasure","colorblue","test","num1","typepositive","singlestim","19","67042","100010","edm","paicipantresponseblue","correct"
"67","Subject70","817","pleasure","67","pleasure","colorred","test","num1","typepositive","singlestim","19","77423","100010","edc","paicipantresponsered","correct"
"68","Subject71","600","rejected","67","rejected","colorred","test","num1","typenegative","singlestim","19","82205","100010","edc","paicipantresponsered","correct"
"69","Subject72","278","alone","77","alone","colorblue","test","num1","typenegative","singlestim","19","58502","100010","edm","paicipantresponseblue","correct"
"70","Subject73","366","engine","67","engine","colorred","test","num1","typeneutral","singlestim","19","81007","100010","edc","paicipantresponsered","correct"
"71","Subject74","1158","rejected","67","rejected","colorred","test","num1","typenegative","singlestim","19","73991","100010","edc","paicipantresponsered","correct"
"72","Subject75","454","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","19","102691","100010","edm","paicipantresponseblue","correct"
"73","Subject76","771","success","67","success","colorred","test","num1","typepositive","singlestim","19","74855","100010","edc","paicipantresponsered","correct"
"74","Subject78","450","success","67","success","colorred","test","num1","typepositive","singlestim","19","65319","100010","edc","paicipantresponsered","correct"
"75","Subject79","928","paper","77","paper","colorblue","test","num1","typeneutral","singlestim","19","97255","100010","edm","paicipantresponseblue","correct"
"76","Subject80","865","museum","67","museum","colorred","test","num1","typeneutral","singlestim","19","80608","100010","edc","paicipantresponsered","correct"
"77","Subject82","1057","pleasure","77","pleasure","colorblue","test","num1","typepositive","singlestim","19","74647","100010","edm","paicipantresponseblue","correct"
"78","Subject83","549","engine","67","engine","colorred","test","num1","typeneutral","singlestim","19","125208","100010","edc","paicipantresponsered","correct"
"79","Subject84","680","funeral","67","funeral","colorred","test","num1","typesuicide","singlestim","19","105859","100010","edc","paicipantresponsered","correct"
"80","Subject85","652","success","67","success","colorred","test","num1","typepositive","singlestim","19","77292","100010","edc","paicipantresponsered","correct"
"81","Subject86","engine","67","engine","colorred","test","num1","typeneutral","singlestim","19","112385","100010","edc","paicipantresponsered","correct","516"
"82","Subject87","659","pleasure","77","pleasure","colorblue","test","num1","typepositive","singlestim","19","62136","100010","edm","paicipantresponseblue","correct"
"83","Subject88","439","rejected","77","rejected","colorblue","test","num1","typenegative","singlestim","19","113254","100010","edm","paicipantresponseblue","correct"
"84","Subject89","387","pleasure","77","pleasure","colorblue","test","num1","typepositive","singlestim","19","83137","100010","edm","paicipantresponseblue","correct"
"85","Subject90","paper","1","paper","colorred","test","num1","typeneutral","singlestim","19","90909","100010","ed","incorrect","776","suicide"
"86","Subject91","390","happy","67","happy","colorred","test","num1","typepositive","singlestim","19","71882","100010","edc","paicipantresponsered","correct"
"87","Subject92","485","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","19","116461","100010","edm","paicipantresponseblue","correct"
"88","Subject93","450","dead","67","dead","colorred","test","num1","typesuicide","singlestim","19","57975","100010","edc","paicipantresponsered","correct"
